Id,Category,Date,Day_Num,Day,Time_Num,District,Latitude,Longitude
358,Home,2015/8/15,6,Sat,4,Daan,25.0196035,121.5334281
359,Home,2015/8/15,6,Sat,4,Daan,25.0252854,121.5240879
360,Home,2015/8/15,6,Sat,5,Datong,25.0493003,121.5194405
361,Home,2015/8/15,6,Sat,5,Daan,25.0418587,121.5433978
362,Home,2015/8/17,1,Mon,1,Beitou,25.123262,121.502665
363,Home,2015/8/17,1,Mon,1,Xinyi,25.043593,121.577284
364,Home,2015/8/17,1,Mon,6,Songshan,25.051595,121.565637
365,Home,2015/8/17,1,Mon,7,Shilin,25.1202401,121.5305795
366,Home,2015/8/18,2,Tue,7,Nangang,25.0333549,121.611387
367,Home,2015/8/20,4,Thu,1,Xinyi,25.0296027,121.5638352
368,Home,2015/8/21,5,Fri,8,Nangang,25.0333549,121.611387
369,Home,2015/8/22,6,Sat,3,Zhongshan,25.0774197,121.5617804
370,Home,2015/8/22,6,Sat,8,Wenshan,25.003631,121.577827
371,Home,2015/8/23,7,Sun,1,Zhongzheng,25.0327576,121.5051299
